COD_AGENCIA;BANCA;ZONA;AGENCIA
4669;RED AGENCIAS;PROVINCIA NORTE;ADMINISTRATIVA
556;MERCADOS;MERCADOS;MERCADOS
559;MERCADOS;MERCADOS;MERCADOS
560;MERCADOS;MERCADOS;MERCADOS
561;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
562;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
563;MERCADOS;MERCADOS;MERCADOS
4746;RED AGENCIAS;LIMA MODERNA;ADMINISTRATIVA
4633;RED AGENCIAS;LIMA MODERNA;ADMINISTRATIVA
4758;RED AGENCIAS;LIMA MODERNA;ADMINISTRATIVA
567;SIN ESPECIFICAR;SIN ESPECIFICAR;SIN ESPECIFICAR
571;MERCADOS;MERCADOS;MERCADOS
572;MERCADOS;MERCADOS;MERCADOS
573;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
574;SIN ESPECIFICAR;SIN ESPECIFICAR;SIN ESPECIFICAR
575;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
577;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
580;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
581;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
582;INVERSIONES;INVERSIONES;INVERSIONES
583;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
586;INVERSIONES;INVERSIONES;INVERSIONES
593;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
594;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
4675;RED AGENCIAS;LIMA CENTRO;ADMINISTRATIVA
598;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
599;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
601;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
602;INVERSIONES;INVERSIONES;INVERSIONES
603;INVERSIONES;INVERSIONES;INVERSIONES
4694;RED AGENCIAS;PROVINCIA SUR;ADMINISTRATIVA
606;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
607;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
608;SIN ESPECIFICAR;SIN ESPECIFICAR;SIN ESPECIFICAR
272;RED AGENCIAS;PROVINCIA NORTE;NUEVO CHIMBOTE      
610;SIN ESPECIFICAR;SIN ESPECIFICAR;SIN ESPECIFICAR
759;RED AGENCIAS;LIMA MODERNA;ADMINISTRATIVA
762;RED AGENCIAS;LIMA MODERNA;ADMINISTRATIVA
693;RED AGENCIAS;PROVINCIA CENTRO ORIENTE;ADMINISTRATIVA
669;RED AGENCIAS;PROVINCIA NORTE;ADMINISTRATIVA
219;RED AGENCIAS;LIMA SUR;ADMINISTRATIVA
622;MERCADOS;MERCADOS;MERCADOS
623;SIN ESPECIFICAR;SIN ESPECIFICAR;SIN ESPECIFICAR
624;INVERSIONES;INVERSIONES;INVERSIONES
675;RED AGENCIAS;LIMA OESTE;ADMINISTRATIVA
626;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
745;RED AGENCIAS;LIMA CENTRO;ADMINISTRATIVA
628;SIN ESPECIFICAR;SIN ESPECIFICAR;SIN ESPECIFICAR
694;RED AGENCIAS;PROVINCIA SUR;ADMINISTRATIVA
631;RED AGENCIAS;LIMA SUR;ADMINISTRATIVA
625;RED AGENCIAS;LIMA NORTE;ADMINISTRATIVA
634;EMPRESA;EMPRESA;EMPRESA
635;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
636;EMPRESA;EMPRESA;EMPRESA
638;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
640;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
641;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
758;RED AGENCIAS;LIMA MODERNA;ADMINISTRATIVA
645;RED AGENCIAS;LIMA OESTE;ADMINISTRATIVA
665;RED AGENCIAS;PROVINCIA CENTRO ORIENTE;ADMINISTRATIVA
736;RED AGENCIAS;LIMA CENTRO;ADMINISTRATIVA
647;EMPRESA;EMPRESA;EMPRESA
644;RED AGENCIAS;LIMA ESTE;ADMINISTRATIVA
620;RED AGENCIAS;LIMA NORTE;ADMINISTRATIVA
651;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
652;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
734;RED AGENCIAS;LIMA MODERNA;ADMINISTRATIVA
656;MERCADOS;MERCADOS;MERCADOS
657;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
630;RED AGENCIAS;LIMA SUR;ADMINISTRATIVA
674;RED AGENCIAS;LIMA CENTRO;ADMINISTRATIVA
661;EMPRESA;EMPRESA;EMPRESA
737;RED AGENCIAS;LIMA MODERNA;ADMINISTRATIVA
668;RED AGENCIAS;PROVINCIA NORTE;ADMINISTRATIVA
688;RED AGENCIAS;PROVINCIA SUR;ADMINISTRATIVA
389;RED AGENCIAS;LIMA MODERNA;ADMINISTRATIVA
706;RED AGENCIAS;CENTRO NEGOCIOS;ADMINISTRATIVA
216;RED AGENCIAS;PROVINCIA NORTE;OPEN PLAZA CHICLAYO 
554;RED AGENCIAS;PROVINCIA NORTE;OPEN PLAZA PIURA    
670;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
357;RED AGENCIAS;LIMA CENTRO;ORRANTIA            
282;RED AGENCIAS;LIMA OESTE;OVALO 200 MILLAS    
843;RED AGENCIAS;PROVINCIA NORTE;OVALO PAPAL         
676;INVERSIONES;INVERSIONES;INVERSIONES
677;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
678;EMPRESA;EMPRESA;EMPRESA
679;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
680;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
681;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
684;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
685;EMPRESA;EMPRESA;EMPRESA
686;EMPRESA;EMPRESA;EMPRESA
291;RED AGENCIAS;PROVINCIA NORTE;PACASMAYO           
690;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
271;RED AGENCIAS;PROVINCIA NORTE;PAITA               
