COD_AGENCIA;BANCA;ZONA;AGENCIA
4624;INVERSIONES;INVERSIONES;INVERSIONES
196;RED AGENCIAS;LIMA NORTE;SAN MARTIN DE PORRES
208;RED AGENCIAS;PROVINCIA SUR;SAN PEDRO CUSCO     
609;RED AGENCIAS;LIMA CENTRO;SAN RAFAEL          
183;RED AGENCIAS;LIMA ESTE;SANTA ANITA         
716;RED AGENCIAS;LIMA MODERNA;SANTA CRUZ          
182;RED AGENCIAS;LIMA MODERNA;SANTA MONICA        
659;RED AGENCIAS;LIMA CENTRO;SEBASTIAN BARRANCA  
4634;EMPRESA;EMPRESA;EMPRESA
4640;ADMINISTRATIVA;ADMINISTRATIVA;ADMINISTRATIVA
627;RED AGENCIAS;LIMA ESTE;SEDAPAL             
614;RED AGENCIAS;LIMA ESTE;SEPARADORA INDUSTRIA
4656;MERCADOS;MERCADOS;MERCADOS
309;RED AGENCIAS;LIMA NORTE;SERPOST ADUANAS     
4662;EMPRESA;EMPRESA;EMPRESA
